epochs;LSTMLayers;LSTMDims;ReLULayers;ReLUDims;L2;totalAcc;f1;For;Against;Neutral
200;1;50;2;200;0,0003;0,3667;0,3443;0,3372;0,32;0,4203
200;1;50;1;100;0,0001;0,3667;0,3418;0,2326;0,36;0,5362
200;1;50;2;100;0,0001;0,3778;0,3399;0,2907;0,24;0,5362
200;1;50;1;50;0;0,35;0,3397;0,2907;0,44;0,3913
200;1;100;1;50;0;0,3833;0,3392;0,3256;0,2;0,5217
200;1;100;1;100;0;0,4;0,3366;0,1744;0,24;0,7391
200;1;50;2;100;0,0003;0,3722;0,3357;0,2674;0,24;0,5507
200;1;50;2;100;0,0003;0,3722;0,3357;0,2674;0,24;0,5507
200;1;50;1;100;0;0,3944;0,3334;0,2558;0,16;0,6522
200;1;50;1;200;0,0001;0,3889;0,3328;0,2907;0,16;0,5942
200;1;50;1;50;0,0001;0,3722;0,3302;0,1512;0,36;0,6522
200;1;50;1;50;0,0001;0,3722;0,3302;0,1512;0,36;0,6522
300;1;50;1;50;0,0001;0,3889;0,3295;0,1395;0,28;0,7391
300;1;50;1;50;0,0001;0,3889;0,3295;0,1395;0,28;0,7391
300;1;50;1;200;0,0003;0,3833;0,3286;0,186;0,24;0,6812
300;1;50;2;100;0,0003;0,3833;0,3276;0,093;0,4;0,7391
300;1;50;2;100;0,0003;0,3833;0,3276;0,093;0,4;0,7391
200;1;50;1;200;0,0003;0,3778;0,3222;0,2093;0,2;0,6522
200;1;50;2;100;0;0,3278;0,3195;0,2907;0,4;0,3478
300;1;50;2;100;0;0,3611;0,3171;0,1047;0,4;0,6667
200;1;50;2;200;0,0001;0,3833;0,3148;0,1744;0,16;0,7246
200;1;100;1;100;0,0001;0,35;0,3128;0,186;0,28;0,5797
300;1;50;1;50;0;0,3611;0,3101;0,1395;0,28;0,6667
300;1;50;2;50;0,0003;0,3667;0,3043;0,1395;0,2;0,7101
300;1;50;2;200;0,0001;0,3667;0,3042;0,093;0,32;0,7246
300;1;50;1;200;0;0,3889;0,3021;0,1628;0,12;0,7681
300;1;50;1;200;0,0001;0,3667;0,2986;0,1628;0,16;0,6957
200;1;50;1;200;0;0,3722;0,2978;0,186;0,12;0,6957
300;1;100;1;50;0,0003;0,3667;0,2958;0,1512;0,16;0,7101
300;1;100;1;100;0;0,3611;0,2944;0,0814;0,28;0,7391
300;1;50;2;200;0,0003;0,3389;0,2922;0,093;0,36;0,6377
300;1;50;1;50;0,0003;0,3278;0,2913;0,1744;0,24;0,5507
300;1;50;1;100;0,0001;0,3556;0,2868;0,1395;0,16;0,6957
300;1;50;2;200;0;0,3556;0,2866;0,093;0,24;0,7246
300;1;100;1;100;0,0003;0,3611;0,2858;0,093;0,2;0,7536
200;1;50;1;50;0,0003;0,3389;0,2851;0,093;0,28;0,6667
300;1;100;1;50;0,0001;0,3611;0,2818;0,1395;0,12;0,7246
300;1;50;1;100;0,0003;0,35;0,2817;0,1047;0,2;0,7101
200;1;100;1;50;0,0001;0,3722;0,281;0,1395;0,08;0,7681
200;1;100;1;100;0,0003;0,3556;0,2776;0,1395;0,12;0,7101
200;1;50;1;100;0,0003;0,3667;0,277;0,186;0,04;0,7101
300;1;50;2;100;0,0001;0,3444;0,2761;0,0814;0,24;0,7101
300;1;50;2;50;0;0,3444;0,2748;0,0465;0,32;0,7246
300;1;100;1;50;0;0,3278;0,2722;0,093;0,24;0,6522
200;1;100;1;50;0,0003;0,3167;0,2673;0,0698;0,32;0,6232
300;1;50;2;50;0,0001;0,3222;0,2495;0;0,4;0,6957
100;1;50;1;200;0;0,3944;0,2455;0,0233;0,08;0,971
300;1;50;1;100;0;0,3111;0,2451;0,1395;0,08;0,6087
200;1;50;2;50;0,0001;0,3278;0,2421;0;0,32;0,7391
300;1;100;1;100;0,0001;0,3167;0,241;0,0814;0,12;0,6812
200;1;50;2;200;0;0,3;0,2409;0,093;0,12;0,6232
100;1;50;2;200;0;0,2889;0,2374;0,0233;0,36;0,5942
100;1;50;1;100;0,0003;0,3722;0,2305;0;0,12;0,9275
200;1;50;2;50;0,0003;0,35;0,2262;0,0116;0,12;0,8551
100;1;50;1;200;0,0003;0,3722;0,2191;0;0,08;0,942
1;1;50;1;50;0,0003;0,3833;0,1847;0;0;1
30;1;50;1;50;0,0003;0,3833;0,1847;0;0;1
50;1;50;1;50;0,0003;0,3833;0,1847;0;0;1
70;1;50;1;50;0,0003;0,3833;0,1847;0;0;1
100;1;50;1;50;0,0003;0,3833;0,1847;0;0;1
30;1;50;1;50;0;0,3833;0,1847;0;0;1
50;1;50;1;50;0;0,3833;0,1847;0;0;1
70;1;50;1;50;0;0,3833;0,1847;0;0;1
100;1;50;1;50;0;0,3833;0,1847;0;0;1
1;1;50;1;100;0;0,3833;0,1847;0;0;1
30;1;50;1;100;0;0,3833;0,1847;0;0;1
50;1;50;1;100;0;0,3833;0,1847;0;0;1
70;1;50;1;100;0;0,3833;0,1847;0;0;1
100;1;50;1;100;0;0,3833;0,1847;0;0;1
1;1;50;1;100;0,0001;0,3833;0,1847;0;0;1
30;1;50;1;100;0,0001;0,3833;0,1847;0;0;1
50;1;50;1;100;0,0001;0,3833;0,1847;0;0;1
70;1;50;1;100;0,0001;0,3833;0,1847;0;0;1
100;1;50;1;100;0,0001;0,3833;0,1847;0;0;1
1;1;50;1;100;0,0003;0,3833;0,1847;0;0;1
30;1;50;1;100;0,0003;0,3833;0,1847;0;0;1
50;1;50;1;100;0,0003;0,3833;0,1847;0;0;1
70;1;50;1;100;0,0003;0,3833;0,1847;0;0;1
1;1;50;1;200;0;0,3833;0,1847;0;0;1
30;1;50;1;200;0;0,3833;0,1847;0;0;1
50;1;50;1;200;0;0,3833;0,1847;0;0;1
70;1;50;1;200;0;0,3833;0,1847;0;0;1
1;1;50;1;200;0,0001;0,3833;0,1847;0;0;1
30;1;50;1;200;0,0001;0,3833;0,1847;0;0;1
50;1;50;1;200;0,0001;0,3833;0,1847;0;0;1
70;1;50;1;200;0,0001;0,3833;0,1847;0;0;1
1;1;50;1;200;0,0003;0,3833;0,1847;0;0;1
30;1;50;1;200;0,0003;0,3833;0,1847;0;0;1
50;1;50;1;200;0,0003;0,3833;0,1847;0;0;1
70;1;50;1;200;0,0003;0,3833;0,1847;0;0;1
1;1;50;2;50;0;0,3833;0,1847;0;0;1
30;1;50;2;50;0;0,3833;0,1847;0;0;1
50;1;50;2;50;0;0,3833;0,1847;0;0;1
70;1;50;2;50;0;0,3833;0,1847;0;0;1
100;1;50;2;50;0;0,3833;0,1847;0;0;1
200;1;50;2;50;0;0,3833;0,1847;0;0;1
1;1;50;2;50;0,0001;0,3833;0,1847;0;0;1
30;1;50;2;50;0,0001;0,3833;0,1847;0;0;1
50;1;50;2;50;0,0001;0,3833;0,1847;0;0;1
70;1;50;2;50;0,0001;0,3833;0,1847;0;0;1
100;1;50;2;50;0,0001;0,3833;0,1847;0;0;1
1;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
30;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
50;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
70;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
100;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
1;1;50;2;50;0,0003;0,3833;0,1847;0;0;1
30;1;50;2;50;0,0003;0,3833;0,1847;0;0;1
50;1;50;2;50;0,0003;0,3833;0,1847;0;0;1
70;1;50;2;50;0,0003;0,3833;0,1847;0;0;1
100;1;50;2;50;0,0003;0,3833;0,1847;0;0;1
1;1;50;2;100;0;0,3833;0,1847;0;0;1
30;1;50;2;100;0;0,3833;0,1847;0;0;1
50;1;50;2;100;0;0,3833;0,1847;0;0;1
70;1;50;2;100;0;0,3833;0,1847;0;0;1
100;1;50;2;100;0;0,3833;0,1847;0;0;1
1;1;50;2;100;0,0001;0,3833;0,1847;0;0;1
30;1;50;2;100;0,0001;0,3833;0,1847;0;0;1
50;1;50;2;100;0,0001;0,3833;0,1847;0;0;1
70;1;50;2;100;0,0001;0,3833;0,1847;0;0;1
100;1;50;2;100;0,0001;0,3833;0,1847;0;0;1
1;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
30;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
50;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
70;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
100;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
1;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
30;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
50;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
70;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
100;1;50;2;100;0,0003;0,3833;0,1847;0;0;1
1;1;50;2;200;0;0,3833;0,1847;0;0;1
30;1;50;2;200;0;0,3833;0,1847;0;0;1
50;1;50;2;200;0;0,3833;0,1847;0;0;1
